budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year
100000000,Columbia Pictures,USA,Adam McKay,Action,119219978,The Other Guys,PG-13,6/8/2010,107,6.7,Will Ferrell,204044,Adam McKay,2010
19000000,Universal Pictures,USA,Anand Tucker,Comedy,25918920,Leap Year,PG,8/1/2010,100,6.5,Amy Adams,77685,Deborah Kaplan,2010
40000000,Columbia Pictures,USA,Harald Zwart,Action,176591618,The Karate Kid,PG,11/6/2010,140,6.2,Jackie Chan,131784,Christopher Murphey,2010
68000000,Summit Entertainment,USA,David Slade,Adventure,300531751,The Twilight Saga: Eclipse,PG-13,30/6/2010,124,4.9,Kristen Stewart,195941,Melissa Rosenberg,2010
0,Film4,UK,Christopher Morris,Comedy,304137,Four Lions,R,7/5/2010,97,7.3,Will Adamsdale,61262,Christopher Morris,2010
0,Groundswell Productions,USA,Andrew Jarecki,Crime,578382,All Good Things,R,3/6/2011,101,6.3,Ryan Gosling,45225,Marcus Hinchey,2010
55000000,Touchstone Pictures,USA,Mark Steven Johnson,Comedy,32669555,When in Rome,PG-13,29/1/2010,91,5.6,Kristen Bell,53883,David Diamond,2010
2000000,Anonymous Content,USA,Debra Granik,Drama,6531503,Winter's Bone,R,16/7/2010,100,7.2,Jennifer Lawrence,118433,Debra Granik,2010
24000000,Dimension Films,USA,Alexandre Aja,Comedy,25003155,Piranha 3D,R,20/8/2010,88,5.5,Elisabeth Shue,76489,Pete Goldfinger,2010
36000000,Metro-Goldwyn-Mayer (MGM),USA,Steve Pink,Comedy,50287556,Hot Tub Time Machine,R,26/3/2010,101,6.4,John Cusack,145648,Josh Heald,2010
100000000,Twentieth Century Fox Film Corporation,USA,Tony Scott,Action,81562942,Unstoppable,PG-13,12/11/2010,98,6.8,Denzel Washington,160551,Mark Bomback,2010
24000000,CBS Films,USA,George Tillman Jr.,Action,23240020,Faster,R,24/11/2010,98,6.5,Dwayne Johnson,85407,Tony Gayton,2010
12000000,PathÈ Pictures International,UK,Neil Marshall,Action,122288,Centurion,R,30/7/2010,97,6.4,Michael Fassbender,69188,Neil Marshall,2010
